CompanyName,Fortune500Rank,Global500Rank,Sector,Size
Abbott Laboratories ,104,393,Healthcare,Global 500 / Fortune 1000
AbbVie,99,378,Healthcare,Global 500 / Fortune 1000
ADT,541,,Household Services,Global 500 / Fortune 1000
Allstate,72,263,Insurance,Global 500 / Fortune 1000
Amazon,2,9,Ecommerce & Software,Global 500 / Fortune 1000
Ameritrade,251,,Financial,Global 500 / Fortune 1000
Amgen,135,,Healthcare,Global 500 / Fortune 1000
Angi,740,,Household Services,Global 500 / Fortune 1000
AstraZeneca,,462,Healthcare,Global 500 / Fortune 1000
AT&T,9,22,Telecommunications,Global 500 / Fortune 1000
ATT,9,11,Telecommunications,Global 500 / Fortune 1000
Bank of America,29,77,Financial,Global 500 / Fortune 1000
Bayer,,214,Healthcare,Global 500 / Fortune 1000
BMW,,56,Motor Vehicles & Automotive,Global 500 / Fortune 1000
Boehringer Ingelheim,,464,Healthcare,Global 500 / Fortune 1000
Boston Scientific,296,,Healthcare,Global 500 / Fortune 1000
Bristol Meyers Squibb,75,,Healthcare,Global 500 / Fortune 1000
Charles Schwab,251,,Financial,Global 500 / Fortune 1000
Charter Communications,71,258,Telecommunications,Global 500 / Fortune 1000
Chase,19,48,Financial,Global 500 / Fortune 1000
Citigroup,33,82,Financial,Global 500 / Fortune 1000
Comcast,28,63,Telecommunications,Global 500 / Fortune 1000
Daimler AG,,20,Motor Vehicles & Automotive,Global 500 / Fortune 1000
Dell Technologies,34,81,Hardware and Machinery,Global 500 / Fortune 1000
Dish TV,251,,Telecommunications,Global 500 / Fortune 1000
Eli Lilly,118,,Healthcare,Global 500 / Fortune 1000
Energizer,834,,Household & Food Products,Global 500 / Fortune 1000
Facebook,34,86,Ecommerce & Software,Global 500 / Fortune 1000
Farmers Insurance,256,,Insurance,Global 500 / Fortune 1000
Ford Motor Company,12,31,Motor Vehicles & Automotive,Global 500 / Fortune 1000
Fox,247,,Telecommunications,Global 500 / Fortune 1000
Gap,221,,Retail & Restaurants,Global 500 / Fortune 1000
Geely,,243,Motor Vehicles & Automotive,Global 500 / Fortune 1000
General Motors,18,40,Motor Vehicles & Automotive,Global 500 / Fortune 1000
GlaxoSmithKline,,282,Healthcare,Global 500 / Fortune 1000
Google,,,Ecommerce & Software,Global 500 / Fortune 1000
Honeywell,94,374,Hardware and Machinery,Global 500 / Fortune 1000
Humana,73,,Healthcare,Global 500 / Fortune 1000
Intuit,445,,Ecommerce & Software,Global 500 / Fortune 1000
John Deere,84,319,Hardware and Machinery,Global 500 / Fortune 1000
Johnson and Johnson,35,104,Healthcare,Global 500 / Fortune 1000
Kia,,215,Motor Vehicles & Automotive,Global 500 / Fortune 1000
Kraft Heinz Company,122,,Household & Food Products,Global 500 / Fortune 1000
Liberty Mutual,77,278,Insurance,Global 500 / Fortune 1000
Lowes,31,80,Retail & Restaurants,Global 500 / Fortune 1000
Merck,65,,Healthcare,Global 500 / Fortune 1000
Meta,34,86,Ecommerce & Software,Global 500 / Fortune 1000
Nestle,,82,Household & Food Products,Global 500 / Fortune 1000
Nissan,,116,Motor Vehicles & Automotive,Global 500 / Fortune 1000
NortonLifeLock,573,,Ecommerce & Software,Global 500 / Fortune 1000
Novartis,,225,Healthcare,Global 500 / Fortune 1000
Old Dominion Freight,634,,Other,Global 500 / Fortune 1000
Paychex,617,,Business Services,Global 500 / Fortune 1000
Paycom,617,,Business Services,Global 500 / Fortune 1000
Pfizer,77,,Healthcare,Global 500 / Fortune 1000
PNC Bank,120,,Financial,Global 500 / Fortune 1000
Priceline,339,,Ecommerce & Software,Global 500 / Fortune 1000
Procter and Gamble,50,156,Household & Food Products,Global 500 / Fortune 1000
Progressive,86,323,Insurance,Global 500 / Fortune 1000
