CompanyName,ProductName,DateObserved,TimeOfDay,Channel,ShowName
Solo Stove,Solo Stove,2/4/22,Morning,Newsmax,Wake up America
Pray.com,Pray.com,2/4/22,Morning,Newsmax,Wake up America
Silver Singles,Silver Singles,2/4/22,Morning,Newsmax,Wake up America
Energized Health,Energized Health,2/4/22,Morning,Newsmax,Wake up America
HomeTitleLock,HomeTitleLock,2/1/22,Afternoon,Newsmax,American Agenda
Balance of Nature,Veggies,2/1/22,Afternoon,Newsmax,American Agenda
Blue Emu,Blue Emu,2/1/22,Afternoon,Newsmax,American Agenda
ProLon Fast,ProLon Fast,1/29/22,Morning,Newsmax,Wake up America Weekend
Force Factor,Total Beets,1/29/22,Morning,Newsmax,Saturday Agenda
Hempvana,Hempvana,1/29/22,Morning,Newsmax,Saturday Agenda
SelectQuote,SelectQuote,1/29/22,Morning,Newsmax,Saturday Agenda
Nutrisystem,Nutrisystem,1/29/22,Morning,Newsmax,Saturday Agenda
NortonLifeLock,LifeLock,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
Balance of Nature,Veggies,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
Force Factor,Test180,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
Quincy Bioscience,Prevagen,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
The Jewelry Exchange,The Jewelry Exchange,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
Blue Emu,Blue Emu,1/28/22,Afternoon,Newsmax,The Chris Salcedo Show
FanDuel,FanDuel,1/27/22,Morning,Newsmax,Wake up America
SmartBiz Loans,SmartBiz Loans,1/27/22,Morning,Newsmax,Wake up America
Noble Gold,Noble Gold,1/27/22,Morning,Newsmax,Wake up America
MicroVisor,MicroVisor,1/27/22,Morning,Newsmax,Wake up America
MyPillow,MyPillow Sheets,1/27/22,Morning,Newsmax,Wake up America
Marley Spoon,Martha Stewart,1/27/22,Morning,Newsmax,Wake up America
Solo Stove,Solo Stove,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Noble Gold,Noble Gold,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Nutramax,Cosequin,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Force Factor,Prostate Advanced,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Pray.com,Pray.com,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Nutrisystem,Nutrisystem,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Clover,Clover.com,1/27/22,Evening,Newsmax,Cortes and Pellegrino
Sekur,Sekur,1/26/22,Evening,Newsmax,Greg Kelly Reports
Balance of Nature,Fruits,1/26/22,Evening,Newsmax,Greg Kelly Reports
Strikeman,Train With Strikeman,1/26/22,Evening,Newsmax,Greg Kelly Reports
Convention of States,Convention of States,1/26/22,Evening,Newsmax,Greg Kelly Reports
Qunol,CoQ10,1/26/22,Evening,Newsmax,Greg Kelly Reports
PLX Pharma,Vazalore,1/26/22,Evening,Newsmax,Greg Kelly Reports
BuzzRx,BuzzRx,1/22/22,Evening,Newsmax,News In-Depth
Boehringer Ingelheim,Jardiance,1/22/22,Evening,Newsmax,News In-Depth
Saiontz and Kirk,Hernia Mesh Injury,1/22/22,Evening,Newsmax,News In-Depth
Balance of Nature,Fruits,1/21/22,Morning,Newsmax,Wake up America
MyPillow,MyPillow,1/21/22,Morning,Newsmax,Wake up America
TheZebra,TheZebra,1/21/22,Morning,Newsmax,Wake up America
FightCamp,FightCamp,1/21/22,Morning,Newsmax,Wake up America
Copper Fit,Arch Relief Plus,1/20/22,Morning,Newsmax,Wake up America
Marley Spoon,Martha Stewart,1/20/22,Morning,Newsmax,Wake up America
Therabody,Theragun,1/20/22,Morning,Newsmax,Wake up America
Pray.com,Pray.com,1/20/22,Morning,Newsmax,Wake up America
Coventry Direct,Coventry Direct,1/20/22,Morning,Newsmax,Wake up America
MyPillow,MyPillow,1/18/22,Afternoon,Newsmax,American Agenda
Save America JFC,Donald Trump,1/18/22,Afternoon,Newsmax,American Agenda
Experian,Experian,1/18/22,Afternoon,Newsmax,American Agenda
Balance of Nature,Veggies,1/18/22,Afternoon,Newsmax,American Agenda
FreshNLean,FreshNLean,1/16/22,Morning,Newsmax,Wake up America Weekend
Balance of Nature,Veggies,1/16/22,Morning,Newsmax,Wake up America Weekend
Quincy Bioscience,Prevagen,1/16/22,Morning,Newsmax,Wake up America Weekend
